row_type,timestamp,account,exchange,product,market_key,order_id,source,order_tag,algo_role,operator,strategy,leg_id,side,price,size,synthetic_units,contract_count,status,pnl,notional,synthetic_legs,order_details
fill,2026-06-29T00:04:03.387Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-1-1782686413133-COVER-1782686502688,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-1-1782686413133-COVER-1782686502688-L14,SELL,2777.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2777.00
fill,2026-06-28T23:03:31.633Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-4-1782686413133-COVER-1782686502688,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-4-1782686413133-COVER-1782686502688-L11,SELL,2765.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2765.00
fill,2026-06-28T22:29:27.193Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-1-1782686413133,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-1-1782686413133-L7,BUY,2771.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2771.00
fill,2026-06-28T22:29:27.193Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-2-1782686413133,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-2-1782686413133-L8,BUY,2767.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2767.00
fill,2026-06-28T22:29:27.193Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-3-1782686413133,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-3-1782686413133-L9,BUY,2763.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2763.00
fill,2026-06-28T22:29:27.193Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-4-1782686413133,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-4-1782686413133-L10,BUY,2759.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2759.00
fill,2026-06-28T22:20:29.066Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-1-1782685972785-COVER-1782686005423,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-1-1782685972785-COVER-1782686005423-L6,SELL,2777.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2777.00
fill,2026-06-28T22:20:23.818Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-1-1782685972785,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-1-1782685972785-L5,BUY,2771.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2771.00
fill,2026-06-28T22:20:13.361Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-2-1782685730043-COVER-1782685779744,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-2-1782685730043-COVER-1782685779744-L3,SELL,2773.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2773.00
fill,2026-06-28T22:20:13.361Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-2-1782685730043-COVER-1782685779745,algo,ALGO COVER,cover,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-2-1782685730043-COVER-1782685779745-L4,SELL,2773.00,1,1,1,FILLED,0,0,[],ALGO COVER CME YM_ES SELL 1 @ 2773.00
fill,2026-06-28T22:19:44.838Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-2-1782685730043,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-2-1782685730043-L2,BUY,2767.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2767.00
fill,2026-06-28T22:19:31.639Z,Parent,CME,YM_ES,YM_ES,ALGO-algo-1782685619194-BUY-1-1782685730043,algo,ALGO ENTRY,entry,Operator 1,YM_ES 200,ALGO-algo-1782685619194-BUY-1-1782685730043-L1,BUY,2771.00,1,1,1,FILLED,0,0,[],ALGO ENTRY CME YM_ES BUY 1 @ 2771.00
